awb,source,target,peso,pesotaxavel
047-05862603,LIS,MPM,49,"87,44"
071-40837996,CAN,MPM,12,12
176-60968353,LIS,ADD,906,906
047-05862614,LIS,MPM,111,"175,13"
047-05862625,LIS,MPM,376,376
071-40829574,CAN,MPM,304,360
331-84705062,LIS,PDL,15,"47,79"
331-84705073,LIS,TER,15,"47,79"
331-84705084,LIS,HOR,15,"47,79"
221-03775752,LIS,FNC,65,65
331-84705095,LIS,PDL,39,39
331-84705106,LIS,PIX,4,4
331-84705110,LIS,SJZ,33,33
047-05862640,LIS,RAI,96,"133,4"
047-05862651,LIS,RAI,11,11
118-11423672,LIS,LAD,109,"124,8"
221-03775763,LIS,FNC,3,6
221-03775774,LIS,FNC,1010,1010
221-03775785,LIS,TER,2,2
221-03775796,LIS,FNC,44,44
221-03775800,LIS,FNC,32,32
047-05862673,LIS,MPM,93,"242,78"
047-05862684,LIS,MPM,180,"249,6"
047-05862695,LIS,MPM,175,175
118-11423716,LIS,CBT,195,195
057-94481144,LIS,SSG,3,5
057-94481155,LIS,SSG,63,"104,89"
047-05862710,LIS,MPM,184,"234,64"
221-03775811,LIS,FNC,48,48
331-84705121,LIS,PDL,28,28
331-84705132,LIS,HOR,15,15
118-11423731,LIS,LAD,108,108
118-11423742,LIS,CAB,30,30
047-05862721,LIS,MPM,30,64
047-05862732,LIS,MPM,6,6
047-05862743,LIS,MPM,3,3
118-11423753,LIS,LAD,1091,1091
047-05862754,LIS,MPM,"25,5","25,5"
057-94481166,LIS,SSG,24,"44,52"
047-05862765,LIS,MPM,9,"13,33"
047-05862776,LIS,MPM,23,"50,83"
331-84705143,LIS,SJZ,31,"56,44"
047-05862780,LIS,MPM,1,"3,28"
221-03775822,LIS,FNC,29,29
331-84705154,LIS,PDL,6,6
331-84705165,LIS,TER,4,4
047-05862791,LIS,MPM,20,20
615-05486471,LIS,RAI,232,"258,8"
047-05862802,LIS,MPM,11,18
047-05862824,LIS,OXB,23,23
221-03775833,LIS,FNC,"7,5","15,89"
118-11423775,LIS,LAD,72,72
118-11423786,LIS,LAD,289,"347,2"
047-05862846,LIS,MPM,24,"34,02"
221-03775844,LIS,FNC,27,27
331-84705176,LIS,PDL,55,55
331-84705180,LIS,TER,30,30
331-84705191,LIS,HOR,3,3
331-84705202,LIS,PDL,4,6
157-19271486,LHR,MPM,14,"25,42"
118-11423801,LIS,LAD,"1096,5","1096,5"
047-05862850,LIS,MPM,240,"327,58"
047-05862861,LIS,MPM,30,"37,74"
047-05862872,LIS,MPM,16,"16,61"
047-05862883,LIS,MPM,33,33
221-03775855,LIS,FNC,"49,5","49,5"
331-84705213,LIS,PDL,30,30
331-84705224,LIS,TER,"19,5","19,5"
331-84705235,LIS,SMA,"5,5","5,5"
057-00424852,LIS,SSG,32,"65,6"
221-03775866,LIS,FNC,24,24
118-11423834,LIS,LAD,450,450
047-05862916,LIS,MPM,684,684
047-05862920,LIS,MPM,276,"417,6"
221-03775870,LIS,FNC,530,530
331-84705246,LIS,SJZ,41,"80,17"
221-03775881,LIS,FNC,44,44
047-05862942,LIS,MPM,50,50
047-05862964,LIS,MPM,204,"276,46"
047-05862975,LIS,MPM,4,"8,53"
047-05862986,LIS,MPM,15,"23,2"
047-05862990,LIS,MPM,42,"64,01"
221-03775892,LIS,FNC,12,12
331-84705250,LIS,PDL,5,5
331-84705261,LIS,PIX,"3,5","3,5"
047-05863012,LIS,MPM,43,"67,2"
047-05863045,CLE,LAD,1284,1284
047-05863056,LIS,MPM,13,32
118-11423860,LIS,LAD,525,525
057-00424863,LIS,SSG,252,252
047-05863060,LIS,FNC,5,5
047-05863071,LIS,MPM,149,149
331-84705272,LIS,PDL,"0,5","0,5"
047-05863082,LIS,MPM,35,"44,6"
057-00424874,LIS,SSG,117,"140,8"
235-78363235,LIS,KHI,620,"954,35"
221-03906210,LIS,FNC,26,26
331-84705283,LIS,PDL,37,37
331-84757304,LIS,TER,1,"1,88"
331-84757315,LIS,PIX,5,5
047-05863104,LIS,MPM,8,"14,39"
047-05863115,LHR,VXE,146,146
047-05863126,LIS,MPM,4,"4,68"
047-05863130,LIS,MPM,18,32
221-03906232,LIS,FNC,8,"13,39"
057-00424885,LIS,SSG,72,90
331-82762794,LIS,HOR,1,"1,88"
331-84039476,LIS,SMA,1,"1,88"
221-03906243,LIS,FNC,34,34
118-11423882,LIS,LAD,485,485
221-03906254,LIS,FNC,37,37
047-05863185,LIS,MPM,8,"13,33"
057-00424896,LIS,SSG,32,64
331-84757326,LIS,SJZ,21,"35,42"
047-05863211,LIS,RAI,20,"26,67"
047-05863222,LIS,RAI,43,43
118-11423904,LIS,CBT,21,21
221-03906221,LIS,FNC,25,25
221-03906265,LIS,FNC,66,66
331-84757330,LIS,PDL,30,30
331-84757341,LIS,TER,18,18
331-84757352,LIS,GRW,"2,5","3,75"
331-84757363,LIS,SJZ,240,"346,67"
118-11423915,LIS,CAB,110,"141,67"
047-05863233,LIS,MPM,3,3
047-05863244,LIS,MPM,67,"98,4"
047-05863255,LIS,RAI,,
221-03906276,LIS,FNC,2,"2,17"
047-05863266,LIS,RAI,,
047-05863270,LIS,RAI,,
047-05863281,LIS,RAI,,
047-05863292,LIS,RAI,,
047-05863303,LIS,RAI,141,"231,53"
221-03906280,LIS,FNC,16,"16,22"
221-03906291,LIS,FNC,20,"31,67"
221-03906302,LIS,PDL,"15,5","15,5"
331-84757374,LIS,TER,"1,2","1,33"
047-05863325,LIS,MPM,9,9
118-11423952,LIS,LAD,952,952
047-05863336,LIS,VXE,640700,640700
221-03906313,LIS,FNC,"13,5","13,5"
331-84757385,LIS,PDL,50,50
331-84757396,LIS,TER,50,50
047-05863340,LIS,MPM,860,860
221-03906324,LIS,FNC,16,"26,67"
221-03906335,LIS,PDL,12,"14,67"
331-84757400,LIS,PIX,"1,5","3,33"
331-84757411,LIS,PDL,50,50
047-05863351,LIS,MPM,116,116
047-05863362,LIS,MPM,114,"133,99"
221-03906346,LIS,FNC,6,6
331-84757422,LIS,PDL,3,3
331-84757433,LIS,HOR,4,4
221-03906350,LIS,FNC,7,"2166,67"
221-03906361,LIS,PDL,"0,5","6,67"
331-84757444,LIS,SJZ,,
057-00424900,LIS,SSG,"0,2","1,39"
047-05863373,LIS,MPM,16,16
047-05863384,LIS,MPM,2,2
