Airline,Airline Id,Origem,Origem Id,Destino,Destino Id,Rota,1
2N,3652,ARN,737,TRF,664,,1
2N,3652,ARN,737,VBY,746,,1
2N,3652,ARN,737,VHM,729,,1
2N,3652,ARN,737,VXO,711,,1
2N,3652,GEV,715,ARN,737,,1
2N,3652,GEV,715,KRF,718,,1
2N,3652,HAD,709,ARN,737,,1
2N,3652,HAD,709,JKG,688,,1
2N,3652,HAD,709,VXO,711,,1
2N,3652,HMV,5599,VHM,729,,1
2N,3652,JKG,688,ARN,737,,1
2N,3652,JKG,688,HAD,709,,1
2N,3652,KOK,435,POR,448,,1
2N,3652,KRF,718,ARN,737,,1
2N,3652,KRF,718,GEV,715,,1
2N,3652,KSD,5595,ARN,737,,1
2N,3652,LYC,719,AJR,730,,1
2N,3652,LYC,719,ARN,737,,1
2N,3652,MHQ,442,ARN,737,,1
2N,3652,MHQ,442,TKU,460,,1
2N,3652,OER,722,ARN,737,,1
2N,3652,OSL,644,VXO,711,,1
2N,3652,POR,448,ARN,737,,1
2N,3652,POR,448,KOK,435,,1
2N,3652,TKU,460,MHQ,442,,1
2N,3652,TRF,664,ARN,737,,1
2N,3652,VBY,746,ARN,737,,1
2N,3652,VHM,729,ARN,737,,1
2N,3652,VHM,729,HMV,5599,,1
2N,3652,VXO,711,ARN,737,,1
2N,3652,VXO,711,OSL,644,,1
2O,146,ADQ,3531,AOS,7167,,1
2O,146,ADQ,3531,KKB,7168,,1
2O,146,ADQ,3531,KLN,7162,,1
2O,146,ADQ,3531,KOZ,7164,,1
2O,146,ADQ,3531,OLH,7163,,1
2O,146,AOS,7167,KZB,7176,,1
2O,146,KKB,7168,SYB,7173,,1
2O,146,KLN,7162,KYK,7161,,1
2O,146,KOZ,7164,ORI,7165,,1
2O,146,SYB,7173,KPR,7172,,1
2P,897,BSO,6019,MNL,2397,,1
2P,897,BXU,4200,MNL,2397,,1
2P,897,CBO,2399,MNL,2397,,1
2P,897,CGY,2400,MNL,2397,,1
2P,897,CRM,6024,MNL,2397,,1
2P,897,DGT,2425,MNL,2397,,1
2P,897,DWC,8076,MNL,2397,,1
2P,897,GES,2402,MNL,2397,,1
2P,897,KLO,2430,MNL,2397,,1
2P,897,LGP,4203,MNL,2397,,1
2P,897,MNL,2397,BSO,6019,,1
2P,897,MNL,2397,BXU,4200,,1
2P,897,MNL,2397,CBO,2399,,1
2P,897,MNL,2397,CGY,2400,,1
2P,897,MNL,2397,CRM,6024,,1
2P,897,MNL,2397,DGT,2425,,1
2P,897,MNL,2397,DWC,8076,,1
2P,897,MNL,2397,GES,2402,,1
2P,897,MNL,2397,KLO,2430,,1
2P,897,MNL,2397,LGP,4203,,1
2P,897,MNL,2397,MPH,2426,,1
2P,897,MNL,2397,OZC,4204,,1
2P,897,MNL,2397,PPS,2433,,1
2P,897,MNL,2397,RXS,6026,,1
2P,897,MNL,2397,SUG,6016,,1
2P,897,MNL,2397,TUG,6021,,1
2P,897,MNL,2397,ZAM,2404,,1
2P,897,MPH,2426,MNL,2397,,1
2P,897,OZC,4204,MNL,2397,,1
2P,897,PPS,2433,MNL,2397,,1
2P,897,RXS,6026,MNL,2397,,1
2P,897,SUG,6016,MNL,2397,,1
2P,897,TUG,6021,MNL,2397,,1
2P,897,ZAM,2404,MNL,2397,,1
2Z,1729,AUX,7376,PMW,4214,,1
2Z,1729,BRA,7373,BSB,2531,,1
2Z,1729,BRA,7373,SSA,2621,,1
2Z,1729,BSB,2531,BRA,7373,,1
2Z,1729,BSB,2531,OPS,7367,,1
2Z,1729,BSB,2531,RAO,2613,,1
2Z,1729,CAC,2535,GRU,2564,,1
2Z,1729,CGB,2548,GYN,2562,,1
2Z,1729,CGB,2548,OPS,7367,,1
2Z,1729,CGR,2538,DOU,7380,,1
2Z,1729,DOU,7380,CGR,2538,,1
2Z,1729,DOU,7380,GRU,2564,,1
2Z,1729,GIG,2560,RAO,2613,,1
2Z,1729,GRU,2564,CAC,2535,,1
2Z,1729,GRU,2564,DOU,7380,,1
2Z,1729,GRU,2564,RAO,2613,,1
2Z,1729,GRU,2564,UBA,2635,,1
2Z,1729,GRU,2564,UDI,2633,,1
2Z,1729,GRU,2564,VDC,6039,,1
2Z,1729,GYN,2562,CGB,2548,,1
2Z,1729,GYN,2562,PMW,4214,,1
2Z,1729,GYN,2562,RAO,2613,,1
2Z,1729,GYN,2562,UDI,2633,,1
2Z,1729,OPS,7367,BSB,2531,,1
2Z,1729,OPS,7367,CGB,2548,,1
2Z,1729,PLU,2528,RAO,2613,,1
2Z,1729,PMW,4214,AUX,7376,,1
2Z,1729,PMW,4214,GYN,2562,,1
2Z,1729,RAO,2613,BSB,2531,,1
2Z,1729,RAO,2613,GIG,2560,,1
2Z,1729,RAO,2613,GRU,2564,,1
2Z,1729,RAO,2613,GYN,2562,,1
2Z,1729,RAO,2613,PLU,2528,,1
2Z,1729,RAO,2613,SJP,2619,,1
2Z,1729,RAO,2613,UDI,2633,,1
2Z,1729,SJP,2619,RAO,2613,,1
2Z,1729,SSA,2621,BRA,7373,,1
2Z,1729,SSA,2621,VDC,6039,,1
2Z,1729,UBA,2635,GRU,2564,,1
2Z,1729,UBA,2635,UDI,2633,,1
2Z,1729,UDI,2633,GRU,2564,,1
2Z,1729,UDI,2633,GYN,2562,,1
2Z,1729,UDI,2633,RAO,2613,,1
2Z,1729,UDI,2633,UBA,2635,,1
2Z,1729,VDC,6039,GRU,2564,,1
2Z,1729,VDC,6039,SSA,2621,,1
3E,10739,BRL,5726,ORD,3830,,1
3E,10739,BRL,5726,STL,3678,,1
3E,10739,DEC,4042,ORD,3830,,1
3E,10739,DEC,4042,STL,3678,,1
3E,10739,JBR,3591,STL,3678,,1
3E,10739,ORD,3830,BRL,5726,,1
3E,10739,ORD,3830,DEC,4042,,1
3E,10739,STL,3678,BRL,5726,,1
3E,10739,STL,3678,DEC,4042,,1
3E,10739,STL,3678,JBR,3591,,1
3F,16262,CGA,7144,HYL,7145,,1
3F,16262,CGA,7144,KTN,3808,,1
3F,16262,HYL,7145,CGA,7144,,1
3F,16262,HYL,7145,KTB,7147,,1
3F,16262,HYL,7145,KTN,3808,,1
3F,16262,KTB,7147,HYL,7145,,1
3F,16262,KTB,7147,KTN,3808,,1
3F,16262,KTN,3808,CGA,7144,,1
3F,16262,KTN,3808,HYL,7145,,1
3F,16262,KTN,3808,KTB,7147,,1
3F,16262,KTN,3808,MTM,7146,,1
3F,16262,MTM,7146,KTN,3808,,1
3G,595,ACC,248,DKR,1084,,1
3G,595,ACC,248,LOS,273,,1
3G,595,ACC,248,ROB,1063,,1
3G,595,BCN,1218,BJL,1050,,1
3G,595,BJL,1050,BCN,1218,,1
3G,595,BJL,1050,DKR,1084,,1
3G,595,BJL,1050,FNA,1059,,1
3G,595,CKY,4162,OXB,5665,,1
3G,595,DKR,1084,ACC,248,,1
3G,595,DKR,1084,BJL,1050,,1
3G,595,DKR,1084,DLA,897,,1
3G,595,DKR,1084,FNA,1059,,1
3G,595,DKR,1084,LOS,273,,1
3G,595,DKR,1084,OXB,5665,,1
3G,595,DLA,897,DKR,1084,,1
3G,595,DLA,897,LOS,273,,1
3G,595,FNA,1059,BJL,1050,,1
3G,595,FNA,1059,DKR,1084,,1
3G,595,FNA,1059,LGW,502,,1
3G,595,FNA,1059,ROB,1063,,1
3G,595,LGW,502,FNA,1059,,1
3G,595,LOS,273,ACC,248,,1
3G,595,LOS,273,DKR,1084,,1
3G,595,LOS,273,DLA,897,,1
3G,595,LOS,273,ROB,1063,,1
3G,595,OXB,5665,CKY,4162,,1
3G,595,OXB,5665,DKR,1084,,1
3G,595,ROB,1063,ACC,248,,1
3G,595,ROB,1063,FNA,1059,,1
3G,595,ROB,1063,LOS,273,,1
3H,\N,AKV,5506,YIK,5504,,1
3H,\N,AKV,5506,YPX,6727,,1
3H,\N,XGR,5512,YVP,154,,1
3H,\N,YGL,62,YGW,5496,,1
3H,\N,YGL,62,YPX,6727,,1
3H,\N,YGL,62,YUL,146,,1
3H,\N,YGW,5496,YGL,62,,1
3H,\N,YGW,5496,YPH,5520,,1
3H,\N,YGW,5496,YSK,5529,,1
3H,\N,YGW,5496,YUD,5515,,1
3H,\N,YGW,5496,YUL,146,,1
3H,\N,YGW,5496,YUY,149,,1
3H,\N,YIK,5504,AKV,5506,,1
3H,\N,YIK,5504,YZG,5535,,1
3H,\N,YKG,5481,YPJ,5508,,1
3H,\N,YKG,5481,YQC,5499,,1
3H,\N,YKG,5481,YVP,154,,1
3H,\N,YKL,80,YQB,111,,1
3H,\N,YKL,80,YVP,154,,1
3H,\N,YKL,80,YWK,161,,1
3H,\N,YKL,80,YZV,202,,1
3H,\N,YPH,5520,YPX,6727,,1
3H,\N,YPH,5520,YUD,5515,,1
3H,\N,YPH,5520,YVP,154,,1
3H,\N,YPJ,5508,YKG,5481,,1
3H,\N,YPJ,5508,YTQ,6728,,1
3H,\N,YPJ,5508,YVP,154,,1
3H,\N,YPX,6727,AKV,5506,,1
3H,\N,YPX,6727,YGL,62,,1
3H,\N,YPX,6727,YPH,5520,,1
3H,\N,YPX,6727,YVP,154,,1
3H,\N,YQB,111,YKL,80,,1
3H,\N,YQB,111,YUL,146,,1
3H,\N,YQC,5499,YKG,5481,,1
3H,\N,YQC,5499,YWB,7253,,1
3H,\N,YSK,5529,YGW,5496,,1
3H,\N,YSK,5529,YUD,5515,,1
3H,\N,YTQ,6728,YPJ,5508,,1
3H,\N,YTQ,6728,YVP,154,,1
3H,\N,YUD,5515,YGW,5496,,1
3H,\N,YUD,5515,YPH,5520,,1
3H,\N,YUD,5515,YSK,5529,,1
3H,\N,YUL,146,YGL,62,,1
3H,\N,YUL,146,YGW,5496,,1
3H,\N,YUL,146,YQB,111,,1
3H,\N,YUL,146,YUY,149,,1
3H,\N,YUY,149,YGW,5496,,1
3H,\N,YUY,149,YUL,146,,1
3H,\N,YVP,154,XGR,5512,,1
3H,\N,YVP,154,YGW,5496,,1
3H,\N,YVP,154,YKG,5481,,1
3H,\N,YVP,154,YKL,80,,1
3H,\N,YVP,154,YPH,5520,,1
3H,\N,YVP,154,YPJ,5508,,1
3H,\N,YVP,154,YPX,6727,,1
3H,\N,YVP,154,YTQ,6728,,1
3H,\N,YWB,7253,YQC,5499,,1
3H,\N,YWB,7253,YZG,5535,,1
3H,\N,YWK,161,YKL,80,,1
3H,\N,YWK,161,YZV,202,,1
3H,\N,YZG,5535,YIK,5504,,1
3H,\N,YZG,5535,YWB,7253,,1
3H,\N,YZV,202,YKL,80,,1
3H,\N,YZV,202,YWK,161,,1
3J,5521,JIB,4119,DXB,2188,,1
3J,5521,JIB,4119,JED,2072,,1
3J,5521,JIB,4119,MGQ,5687,,1
3J,5521,MGQ,5687,NBO,4059,,1
3J,5521,NBO,4059,MGQ,5687,,1
3K,3021,BKK,3885,SIN,3316,,1
3K,3021,DRW,3999,SIN,3316,,1
3K,3021,HAK,4120,SIN,3316,,1
3K,3021,HGH,3386,SIN,3316,,1
3K,3021,HKG,3077,SIN,3316,,1
3K,3021,HKT,3179,SIN,3316,,1
3K,3021,KIX,3992,MNL,2397,,1
3K,3021,KIX,3992,TPE,2276,,1
3K,3021,KUL,3304,SIN,3316,,1
3K,3021,MNL,2397,KIX,3992,,1
3K,3021,MNL,2397,SIN,3316,,1
3K,3021,PEN,3308,SIN,3316,,1
3K,3021,PER,3351,SIN,3316,,1
3K,3021,PNH,3034,SIN,3316,,1
3K,3021,REP,3035,SIN,3316,,1
3K,3021,RGN,3239,SIN,3316,,1
3K,3021,SGN,3205,SIN,3316,,1
3K,3021,SIN,3316,BKK,3885,,1
3K,3021,SIN,3316,DRW,3999,,1
3K,3021,SIN,3316,HAK,4120,,1
3K,3021,SIN,3316,HGH,3386,,1
3K,3021,SIN,3316,HKG,3077,,1
3K,3021,SIN,3316,HKT,3179,,1
3K,3021,SIN,3316,KUL,3304,,1
3K,3021,SIN,3316,MNL,2397,,1
3K,3021,SIN,3316,PEN,3308,,1
3K,3021,SIN,3316,PER,3351,,1
3K,3021,SIN,3316,PNH,3034,,1
3K,3021,SIN,3316,REP,3035,,1
3K,3021,SIN,3316,RGN,3239,,1
3K,3021,SIN,3316,SGN,3205,,1
3K,3021,SIN,3316,SWA,4302,,1
3K,3021,SIN,3316,TPE,2276,,1
3K,3021,SWA,4302,SIN,3316,,1
3K,3021,TPE,2276,KIX,3992,,1
3K,3021,TPE,2276,SIN,3316,,1
3L,2916,ACH,1679,EBA,1558,,1
3L,2916,DRS,338,ZRH,1678,,1
3L,2916,DUS,345,FDH,382,,1
3L,2916,EBA,1558,ACH,1679,,1
3L,2916,EBA,1558,FDH,382,,1
3L,2916,EBA,1558,MUC,346,,1
3L,2916,EBA,1558,ZRH,1678,,1
3L,2916,FDH,382,DUS,345,,1
3L,2916,FDH,382,EBA,1558,,1
3L,2916,FDH,382,HAM,342,,1
3L,2916,FDH,382,OLB,1520,,1
3L,2916,FDH,382,TXL,351,,1
3L,2916,FDH,382,ZAD,1209,,1
3L,2916,FMM,3986,NAP,1561,,1
3L,2916,GRZ,1609,ZRH,1678,,1
3L,2916,HAM,342,FDH,382,,1
3L,2916,MUC,346,EBA,1558,,1
3L,2916,NAP,1561,FMM,3986,,1
3L,2916,OLB,1520,FDH,382,,1
3L,2916,SZG,1612,ZRH,1678,,1
3L,2916,TXL,351,FDH,382,,1
3L,2916,ZAD,1209,FDH,382,,1
3L,2916,ZRH,1678,DRS,338,,1
3L,2916,ZRH,1678,EBA,1558,,1
3L,2916,ZRH,1678,GRZ,1609,,1
3L,2916,ZRH,1678,SZG,1612,,1
3M,20710,ATL,3682,LWB,6958,,1
3M,20710,ATL,3682,MCN,3754,,1
3M,20710,ATL,3682,MEI,4335,,1
3M,20710,ATL,3682,MSL,5756,,1
3M,20710,ATL,3682,PIB,5759,,1
3M,20710,ATL,3682,TUP,5773,,1
3M,20710,BIM,1937,FLL,3533,,1
3M,20710,ELH,1943,FLL,3533,,1
3M,20710,ELH,1943,PBI,3722,,1
3M,20710,EYW,3875,FLL,3533,,1
3M,20710,EYW,3875,RSW,3793,,1
3M,20710,EYW,3875,TPA,3646,,1
3M,20710,FLL,3533,BIM,1937,,1
3M,20710,FLL,3533,ELH,1943,,1
3M,20710,FLL,3533,EYW,3875,,1
3M,20710,FLL,3533,FPO,1948,,1
3M,20710,FLL,3533,GGT,1941,,1
3M,20710,FLL,3533,GHB,1944,,1
3M,20710,FLL,3533,MCO,3878,,1
3M,20710,FLL,3533,MHH,1930,,1
3M,20710,FLL,3533,TCB,1934,,1
3M,20710,FLL,3533,TPA,3646,,1
3M,20710,FPO,1948,FLL,3533,,1
3M,20710,GGT,1941,FLL,3533,,1
3M,20710,GGT,1941,GHB,1944,,1
3M,20710,GHB,1944,FLL,3533,,1
3M,20710,GLH,6130,TUP,5773,,1
3M,20710,GNV,3472,MCO,3878,,1
3M,20710,GNV,3472,TPA,3646,,1
3M,20710,JAX,3712,MHH,1930,,1
3M,20710,JAX,3712,TPA,3646,,1
3M,20710,LWB,6958,ATL,3682,,1
3M,20710,MCN,3754,ATL,3682,,1
3M,20710,MCN,3754,MCO,3878,,1
3M,20710,MCO,3878,FLL,3533,,1
3M,20710,MCO,3878,GNV,3472,,1
3M,20710,MCO,3878,MCN,3754,,1
3M,20710,MCO,3878,MHH,1930,,1
3M,20710,MCO,3878,PNS,3564,,1
3M,20710,MCO,3878,RSW,3793,,1
3M,20710,MCO,3878,TLH,3698,,1
3M,20710,MEI,4335,ATL,3682,,1
3M,20710,MHH,1930,FLL,3533,,1
3M,20710,MHH,1930,JAX,3712,,1
3M,20710,MHH,1930,MCO,3878,,1
3M,20710,MHH,1930,PBI,3722,,1
3M,20710,MSL,5756,ATL,3682,,1
3M,20710,PBI,3722,ELH,1943,,1
3M,20710,PBI,3722,MHH,1930,,1
3M,20710,PBI,3722,TPA,3646,,1
3M,20710,PIB,5759,ATL,3682,,1
3M,20710,PNS,3564,MCO,3878,,1
3M,20710,PNS,3564,TPA,3646,,1
3M,20710,RSW,3793,EYW,3875,,1
3M,20710,RSW,3793,MCO,3878,,1
3M,20710,TCB,1934,FLL,3533,,1
3M,20710,TLH,3698,MCO,3878,,1
3M,20710,TLH,3698,TPA,3646,,1
3M,20710,TPA,3646,EYW,3875,,1
3M,20710,TPA,3646,FLL,3533,,1
3M,20710,TPA,3646,GNV,3472,,1
3M,20710,TPA,3646,JAX,3712,,1
3M,20710,TPA,3646,PBI,3722,,1
3M,20710,TPA,3646,PNS,3564,,1
3M,20710,TPA,3646,TLH,3698,,1
3M,20710,TUP,5773,ATL,3682,,1
3M,20710,TUP,5773,GLH,6130,,1
3O,9818,AMS,580,NDR,5673,,1
3O,9818,AMS,580,TNG,1080,,1
3O,9818,BCN,1218,CMN,1074,,1
3O,9818,BCN,1218,NDR,5673,,1
3O,9818,BCN,1218,TNG,1080,,1
3O,9818,BGY,1525,CMN,1074,,1
3O,9818,BLQ,1538,CMN,1074,,1
3O,9818,BRU,302,CMN,1074,,1
3O,9818,BRU,302,NDR,5673,,1
3O,9818,BRU,302,TNG,1080,,1
3O,9818,CGN,344,NDR,5673,,1
3O,9818,CMN,1074,BCN,1218,,1
3O,9818,CMN,1074,BGY,1525,,1
3O,9818,CMN,1074,BLQ,1538,,1
3O,9818,CMN,1074,BRU,302,,1
3O,9818,CMN,1074,CUF,1534,,1
3O,9818,CMN,1074,LGW,502,,1
3O,9818,CMN,1074,LYS,1335,,1
3O,9818,CMN,1074,MPL,1359,,1
3O,9818,CMN,1074,SAW,4317,,1
3O,9818,CMN,1074,TLS,1273,,1
3O,9818,CMN,1074,TSF,1539,,1
3O,9818,CUF,1534,CMN,1074,,1
3O,9818,FEZ,1066,MPL,1359,,1
3O,9818,LGW,502,CMN,1074,,1
3O,9818,LGW,502,TNG,1080,,1
3O,9818,LYS,1335,CMN,1074,,1
3O,9818,MPL,1359,CMN,1074,,1
3O,9818,MPL,1359,FEZ,1066,,1
3O,9818,MPL,1359,NDR,5673,,1
3O,9818,NDR,5673,AMS,580,,1
3O,9818,NDR,5673,BCN,1218,,1
3O,9818,NDR,5673,BRU,302,,1
3O,9818,NDR,5673,CGN,344,,1
3O,9818,NDR,5673,MPL,1359,,1
3O,9818,NDR,5673,PMI,3998,,1
3O,9818,PMI,3998,NDR,5673,,1
3O,9818,SAW,4317,CMN,1074,,1
3O,9818,TLS,1273,CMN,1074,,1
3O,9818,TNG,1080,AMS,580,,1
3O,9818,TNG,1080,BCN,1218,,1
3O,9818,TNG,1080,BRU,302,,1
3O,9818,TNG,1080,LGW,502,,1
3O,9818,TSF,1539,CMN,1074,,1
3P,5002,AUA,2895,LSP,2844,,1
3P,5002,AUA,2895,MAR,2848,,1
3P,5002,BON,2896,CUR,2897,,1
3P,5002,CUR,2897,AUA,2895,,1
3P,5002,LSP,2844,AUA,2895,,1
3P,5002,MAR,2848,AUA,2895,,1
3R,3545,ASF,2966,DME,4029,,1
3R,3545,ASF,2966,LED,2948,,1
3R,3545,BHK,2980,DME,4029,,1
3R,3545,DME,4029,ASF,2966,,1
3R,3545,DME,4029,BHK,2980,,1
3R,3545,DME,4029,EGO,6156,,1
3R,3545,DME,4029,FEG,6149,,1
3R,3545,DME,4029,KSQ,6153,,1
3R,3545,DME,4029,NMA,6150,,1
3R,3545,DME,4029,NVI,6485,,1
3R,3545,DME,4029,SKD,2981,,1
3R,3545,DME,4029,TIV,1743,,1
3R,3545,EGO,6156,DME,4029,,1
3R,3545,FEG,6149,DME,4029,,1
3R,3545,KSQ,6153,DME,4029,,1
3R,3545,LED,2948,ASF,2966,,1
3R,3545,NMA,6150,DME,4029,,1
3R,3545,NVI,6485,DME,4029,,1
3R,3545,SKD,2981,DME,4029,,1
3R,3545,TIV,1743,DME,4029,,1
3S,11741,ANU,2874,PTP,2881,,1
3S,11741,CAY,2774,FDF,2878,,1
3S,11741,CUR,2897,SDQ,1762,,1
3S,11741,DOM,2877,PTP,2881,,1
3S,11741,DOM,2877,SXM,2899,,1
3S,11741,FDF,2878,CAY,2774,,1
3S,11741,FDF,2878,PTP,2881,,1
3S,11741,FDF,2878,SDQ,1762,,1
3S,11741,FDF,2878,SLU,2893,,1
3S,11741,PTP,2881,ANU,2874,,1
3S,11741,PTP,2881,DOM,2877,,1
3S,11741,PTP,2881,FDF,2878,,1
3S,11741,PTP,2881,SBH,6460,,1
3S,11741,PTP,2881,SDQ,1762,,1
3S,11741,PTP,2881,SFG,2879,,1
3S,11741,PTP,2881,SXM,2899,,1
3S,11741,SBH,6460,PTP,2881,,1
3S,11741,SDQ,1762,PTP,2881,,1
3S,11741,SDQ,1762,SXM,2899,,1
3S,11741,SFG,2879,PTP,2881,,1
3S,11741,SLU,2893,FDF,2878,,1
3S,11741,SXM,2899,DOM,2877,,1
3S,11741,SXM,2899,PTP,2881,,1
3S,11741,SXM,2899,SDQ,1762,,1
3U,4608,BHY,6351,XIY,3379,,1
3U,4608,CAN,3370,CKG,3393,,1
3U,4608,CAN,3370,CTU,3395,,1
3U,4608,CAN,3370,SPN,2244,,1
3U,4608,CGO,3375,CGQ,4380,,1
3U,4608,CGO,3375,CKG,3393,,1
3U,4608,CGO,3375,CTU,3395,,1
3U,4608,CGO,3375,HGH,3386,,1
3U,4608,CGO,3375,HRB,3400,,1
3U,4608,CGO,3375,KMG,3382,,1
3U,4608,CGO,3375,URC,3399,,1
3U,4608,CGQ,4380,CGO,3375,,1
3U,4608,CGQ,4380,NKG,3388,,1
3U,4608,CGQ,4380,TNA,4108,,1
