awb,source,target,peso,pesotaxavel
331-88060674,OPO,PDL,1.0,1.0
331-88060685,OPO,TER,1.0,1.0
331-88060696,OPO,SMA,1.0,1.0
020-96252645,OPO,FNA,150.0,150.0
2047231973,OPO,JFK,90.0,139.0
4706854750,OPO,MPM,427.0,427.0
17617781444,OPO,DXB,90.0,192.0
12568496853,OPO,JFK,170.6,420.0
11811278046,LIS,LAD,21.0,24.5
11811278050,LIS,LAD,225.0,225.0
17622953630,OPO,DXB,1700.0,1700.0
2047231995,OPO,ATL,220.0,220.0
2047232006,OPO,EWR,150.5,180.0
11811278094,LIS,LAD,314.0,350.0
12568496864,OPO,JFK,394.5,1395.0
12568496875,OPO,JFK,505.7,584.0
2047244761,OPO,MSY,,351.0
61531989440,OPO,HKG,109.3,109.5
4706854864,OPO,MPM,482.0,482.0
12568496890,OPO,LAX,400.0,551.5
2047244772,OPO,AUS,76.0,128.0
17622953652,OPO,MEL,329.0,329.0
17622953663,OPO,JNB,184.0,184.0
11811278116,LIS,LAD,,1300.0
12568496901,OPO,LAX,951.1,1364.0
12591090366,OPO,LAX,280.0,280.0
11811278131,LIS,LAD,3440.0,3440.0
17622953685,OPO,AKL,91.0,182.5
4706854923,OPO,MPM,421.3,834.5
2047244783,OPO,TLV,150.0,640.0
17622953696,OPO,KUL,173.0,173.0
23578358420,OPO,SIN,375.0,648.0
17622953700,OPO,PVG,234.0,234.0
12591090370,OPO,AUS,107.5,152.0
17622953711,OPO,DXB,130.3,130.5
2047244794,OPO,PEK,237.0,237.0
11811278175,LIS,LAD,69.0,69.0
12591090381,OPO,AUS,92.0,141.0
12591090392,OPO,LAX,1277.7,1696.0
4706854971,OPO,MPM,22.3,22.5
2047244805,OPO,JFK,500.0,500.0
11811278190,LIS,LAD,1633.5,1900.0
17622953722,OPO,DMM,29.0,55.5
23578358453,OPO,PEK,6355.0,6355.0
4706855004,OPO,MPM,1268.2,
6850344136,LIS,MPM,2403.0,2403.0
12591090414,OPO,TLV,190.0,800.0
33187682652,OPO,PDL,32.0,127.5
12591090425,OPO,LAX,808.4,972.0
2047244816,OPO,SFO,420.0,688.0
61531989451,OPO,HKG,517.0,517.0
12591090440,OPO,KUL,117.4,134.5
11811278223,LIS,LAD,438.0,438.0
12591090451,OPO,MSY,130.0,270.0
4706855052,OPO,RAI,235.0,235.0
12591090462,OPO,LAX,68.0,164.0
11811278245,OPO,LAD,85.0,228.5
4706855074,OPO,MPM,1180.9,1181.0
4706855085,OPO,MPM,23.8,24.0
12591090473,OPO,LAX,190.0,212.0
4706855096,OPO,RAI,23.0,23.0
11811278260,LIS,LAD,714.0,714.0
12591090484,OPO,YUL,130.0,140.0
12591090495,OPO,JFK,103.0,120.0
17622961820,OPO,PVG,20.6,38.0
12591090506,OPO,LAX,135.0,206.5
23578358475,OPO,JNB,1482.5,1763.5
4706855122,OPO,MPM,210.0,210.0
4706855133,OPO,RAI,19.0,19.0
4706855144,OPO,MPM,3265.0,3265.0
11811278271,LIS,LAD,334.0,334.0
4706855170,OPO,MPM,315.8,386.5
17622961831,OPO,MEL,160.0,160.0
11811278293,LIS,LAD,257.5,257.5
23578358501,OPO,PEK,3397.0,3397.0
2047244820,OPO,YYZ,1210.0,1210.0
12591090510,OPO,MCI,125.0,132.0
12591090521,OPO,EWR,695.0,696.0
12591090532,OPO,MAN,155.0,155.0
4706855203,OPO,MPM,291.9,292.0
61531989462,OPO,FRA,88.0,96.0
2047244853,OPO,JFK,150.0,150.0
2047244842,OPO,SFO,299.0,420.0
17622961842,OPO,DXB,146.0,146.0
4706855240,OPO,MPM,362.0,650.0
12591090543,OPO,LAX,1119.7,1588.0
12591090554,OPO,AUS,110.0,160.0
2047244864,OPO,EWR,152.0,163.5
17622961853,OPO,KUL,352.1,352.5
12591090565,OPO,SEA,31.2,32.0
12591090576,OPO,MIA,740.0,1169.0
5791680691,OPO,YYZ,99.4,158.0
11811278326,LIS,LAD,203.6,204.0
4706855251,OPO,MPM,107.0,160.0
40654171950,OPO,DXB,1225.0,1225.0
61531989473,OPO,WAW,67.0,71.0
4706855284,OPO,MPM,386.0,496.0
40654020304,OPO,HKG,526.5,526.5
4706855295,OPO,MPM,272.5,288.0
11811278363,OPO,LAD,802.0,865.0
12591090580,OPO,AUS,2081.0,3424.0
12591090591,OPO,MCI,170.7,187.5
12591090602,OPO,AUS,530.0,608.0
4706855306,OPO,MPM,493.0,493.0
23578358523,OPO,PEK,3380.0,3380.0
11811278400,OPO,LAD,547.5,547.5
11811278411,OPO,LAD,5.0,5.0
11811278422,OPO,LAD,75.0,75.0
4706855376,OPO,MPM,92.0,132.0
11811278433,OPO,LAD,327.5,327.5
11811278444,OPO,LAD,77.0,77.0
23578358545,OPO,PEK,12674.0,12674.0
23578358556,OPO,KUL,257.8,258.0
61531989484,OPO,SIN,259.0,433.5
17622961875,OPO,AKL,,
12591963465,OPO,MCI,296.0,296.0
17622961886,OPO,DXB,110.0,110.0
23578358560,OPO,SGN,5400.0,
12591963476,OPO,AUS,350.0,448.0
17622961890,OPO,RUH,80.0,100.0
4706855435,OPO,LAD,1098.0,1098.0
4706855446,OPO,MPM,135.0,310.5
4706855450,OPO,LAD,1.0,4.0
4706855461,OPO,LAX,2004.9,2888.0
4706855472,OPO,LHR,510.0,756.0
17622961901,OPO,DXB,50.8,
11811278455,OPO,LAD,84.0,84.0
12591963480,OPO,SEA,62.0,
12591963491,OPO,AUS,543.0,543.0
4706855516,OPO,JFK,77.0,292.0
4706855520,OPO,JFK,540.0,540.0
11811278481,OPO,LAD,25.0,
4706855553,OPO,EWR,1260.0,
12591963502,OPO,AUS,300.0,384.0
12591963513,OPO,LAX,570.2,688.0
6850345116,LIS,MPM,1610.0,
4706855564,OPO,MPM,172.0,
12591963524,OPO,MCI,273.2,273.5
12591963535,OPO,YYZ,290.0,432.0
4706855575,OPO,LHR,150.0,150.0
2047244890,OPO,PVG,2548.0,
4706855586,OPO,MPM,42.0,
12591963546,OPO,AUS,112.1,425.0
4706855590,OPO,MPM,98.0,
11811278492,LIS,LAD,213.0,213.0
11811278503,LIS,LAD,204.0,204.0
23578358582,OPO,SGN,3285.0,8083.0
12591963550,OPO,LAX,1085.0,
4706855634,OPO,LAD,977.8,1151.5
12591963561,OPO,MCI,196.1,196.1
4706855656,OPO,MPM,4.5,4.5
2047244901,OPO,NBO,19.2,19.2
33187682700,OPO,SMA,1.0,1.0
4706855682,OPO,MPM,270.0,384.0
4706855693,OPO,MPM,206.0,206.0
17626099695,OPO,BKK,20.0,59.73
2047244912,OPO,NRT,33.0,96.5
12591963686,OPO,ICN,115.0,198.0
17626099684,OPO,KUL,35.0,60.0
12591963664,OPO,PVG,135.0,310.3
12591963690,OPO,HKG,49.0,90.0
12591963583,OPO,YYZ,52.0,110.0
12591963594,OPO,JFK,60.0,121.0
12591963605,OPO,ATL,50.0,132.0
12591963616,OPO,AUS,107.5,120.0
23578358593,OPO,SGN,3100.0,7200.0
12591963620,OPO,LAX,266.0,
12591963631,OPO,LAX,520.0,
4706855704,OPO,MPM,508.8,509.0
23578358641,OPO,JNB,158.0,184.0
12591963642,OPO,LAX,59.6,
4706855741,OPO,EWR,259.5,
17626099673,OPO,MEL,10.0,18.75
12591963653,OPO,AUS,120.0,677.79
4706855752,OPO,MPM,1232.0,1950.4
17626099710,OPO,LAD,29.0,30.0
4706855763,OPO,EWR,2510.5,2510.5
2047244923,OPO,ORD,1500.0,1500.0
4706855785,OPO,RAI,50.0,50.0
11811346031,LIS,LAD,837.5,837.5
12591963675,OPO,JFK,134.5,203.52
12591963701,OPO,LAX,553.0,604.11
125-91972462,OPO,AUS,565.0,720.0
125-91972473,OPO,BOS,130.0,130.0
125-91972484,OPO,LAX,1337.0,1700.0
047-01858920,OPO,MPM,86.0,89.6
047-01858916,OPO,EWR,300.0,384.0
047-09466811,OPO,LAD,61.0,61.0
047-09466822,OPO,FNC,,
125-91972495,OPO,AUS,4074.0,6400.0
125-91972506,OPO,JFK,210.0,211.2
047-09466855,OPO,MPM,300.0,300.0
125-91972510,OPO,LHR,60.0,136.72
125-91972521,OPO,LAX,131.0,160.0
125-91972532,OPO,PVG,1710.0,1710.0
125-91972543,OPO,LAX,129.0,192.0
125-91972554,OPO,JFK,400.0,400.0
047-09466866,OPO,MPM,1.0,1.67
047-09466870,OPO,LAD,391.0,391.0
125-91972565,OPO,LAX,357.0,390.0
157-18893070,OPO,ICN,63.0,141.67
23578358626,OPO,HKG,44.0,83.37
125-91972576,OPO,KUL,33.0,51.69
125-91972580,OPO,LAX,765.0,960.0
11811346042,LIS,LAD,69.0,69.0
125-91972591,OPO,JFK,165.0,260.0
11811346053,LIS,LAD,529.6,580.49
047-09466914,OPO,MPM,266.0,266.0
125-91972624,OPO,JFK,690.9,1001.23
125-91972613,OPO,HKG,428.4,428.4
047-09466940,OPO,RAI,1.5,2.67
047-09466951,OPO,LAD,98.0,98.0
2047244971,OPO,VCP,44.0,44.0
11811346064,LIS,LAD,60.0,60.0
125-91972635,OPO,LAX,240.5,276.0
2047244993,OPO,YVR,128.0,160.0
125-91972646,OPO,LAX,1341.2,1820.0
23578358630,OPO,TPE,131.0,224.0
235-15605391,OPO,KUL,783.0,783.0
047-09466995,OPO,MPM,1602.0,1602.0
047-09467006,OPO,RAI,16.0,16.0
11811346075,LIS,LAD,318.0,370.0
047-09467032,OPO,EWR,1000.0,1000.0
125-91972672,OPO,AUS,55.0,80.0
047-09467010,OPO,EWR,438.0,440.0
11811346086,LIS,LAD,316.0,316.0
11811346101,LIS,LAD,22.2,22.2
125-91972661,OPO,JFK,122.2,122.2
125-91972683,OPO,PVG,145.0,250.1
11811346112,LIS,LAD,50.0,50.0
235-15605424,OPO,JNB,250.0,250.0
047-09467076,OPO,MPM,22.0,22.0
047-09467080,OPO,MPM,85.8,93.8
125-91972694,OPO,LAX,529.7,728.0
11811346134,LIS,LAD,72.0,76.0
11811346145,LIS,LAD,8.4,8.4
125-91972705,OPO,LAX,415.0,592.0
047-09467124,OPO,MPM,,
047-09467135,OPO,BOS,73.0,128.0
047-09467146,OPO,LAD,292.0,292.0
5791680713,OPO,CAI,96.0,120.0
125-93195432,OPO,AUS,235.5,368.0
047-09467161,OPO,MPM,98.78,98.78
125-93195443,OPO,LAX,258.0,364.0
125-93195454,OPO,JFK,1048.0,1048.0
11811346156,LIS,LAD,931.0,931.0
047-09467205,OPO,MPM,342.0,342.0
047-09467172,OPO,EWR,53.0,84.24
